Origin_Airport,Origin_City,Origin_State,Origin_Country,Destination_Airport,Destination_City,Destination_State,Destination_Country,Airline Name,delay
Phoenix Sky Harbor International,Phoenix,AZ,USA,John F Kennedy Intl,New York,NY,USA,JetBlue Airways,18574
Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,Detroit Metropolitan-Wayne County,Detroit,MI,USA,Pinnacle Airlines Inc.,18568
Boise Air Terminal,Boise,ID,USA,Salt Lake City Intl,Salt Lake City,UT,USA,Skywest Airlines Inc.,18550
Richmond International,Richmond,VA,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,American Airlines Inc.,18546
Salt Lake City Intl,Salt Lake City,UT,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,18544
Detroit Metropolitan-Wayne County,Detroit,MI,USA,Philadelphia Intl,Philadelphia,PA,USA,Northwest Airlines Inc.,18538
Cincinnati Northern Kentucky Intl,Covington,KY,USA,Los Angeles International,Los Angeles,CA,USA,Delta Air Lines Inc.,18513
Ontario International,Ontario,CA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,18476
George Bush Intercontinental,Houston,TX,USA,San Diego International-Lindbergh,San Diego,CA,USA,Continental Air Lines Inc.,18466
Nashville International,Nashville,TN,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Expressjet Airlines Inc.,18461
Newark Intl,Newark,NJ,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,18459
Chicago O'Hare International,Chicago,IL,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,United Air Lines Inc.,18452
Newark Intl,Newark,NJ,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Continental Air Lines Inc.,18442
Newark Intl,Newark,NJ,USA,Seattle-Tacoma Intl,Seattle,WA,USA,Alaska Airlines Inc.,18434
Pittsburgh International,Pittsburgh,PA,USA,John F Kennedy Intl,New York,NY,USA,JetBlue Airways,18432
Tampa International,Tampa,FL,USA,Charlotte/Douglas International,Charlotte,NC,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),18360
Portland International Jetport,Portland,ME,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,18358
Los Angeles International,Los Angeles,CA,USA,San Francisco International,San Francisco,CA,USA,American Airlines Inc.,18336
Newark Intl,Newark,NJ,USA,General Mitchell International,Milwaukee,WI,USA,Expressjet Airlines Inc.,18304
Orlando International,Orlando,FL,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,18282
Sacramento International,Sacramento,CA,USA,Denver Intl,Denver,CO,USA,United Air Lines Inc.,18282
Detroit Metropolitan-Wayne County,Detroit,MI,USA,Orlando International,Orlando,FL,USA,Northwest Airlines Inc.,18268
Charleston AFB/International,Charleston,SC,USA,Chicago O'Hare International,Chicago,IL,USA,Skywest Airlines Inc.,18266
Newark Intl,Newark,NJ,USA,Eppley Airfield,Omaha,NE,USA,Expressjet Airlines Inc.,18262
Philadelphia Intl,Philadelphia,PA,USA,Denver Intl,Denver,CO,USA,United Air Lines Inc.,18238
Salt Lake City Intl,Salt Lake City,UT,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,18234
Austin-Bergstrom International,Austin,TX,USA,Dallas Love,Dallas,TX,USA,Southwest Airlines Co.,18233
Phoenix Sky Harbor International,Phoenix,AZ,USA,San Francisco International,San Francisco,CA,USA,United Air Lines Inc.,18218
Burbank-Glendale-Pasadena,Burbank,CA,USA,Phoenix Sky Harbor International,Phoenix,AZ,USA,Southwest Airlines Co.,18205
San Jose International,San Jose,CA,USA,Chicago O'Hare International,Chicago,IL,USA,United Air Lines Inc.,18134
Newark Intl,Newark,NJ,USA,Orlando International,Orlando,FL,USA,JetBlue Airways,18106
Raleigh-Durham International,Raleigh,NC,USA,Charlotte/Douglas International,Charlotte,NC,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),18072
Salt Lake City Intl,Salt Lake City,UT,USA,Chicago O'Hare International,Chicago,IL,USA,Delta Air Lines Inc.,18066
George Bush Intercontinental,Houston,TX,USA,Ronald Reagan Washington National,Arlington,VA,USA,Continental Air Lines Inc.,18060
Phoenix Sky Harbor International,Phoenix,AZ,USA,Salt Lake City Intl,Salt Lake City,UT,USA,Skywest Airlines Inc.,18060
Monroe Regional,Monroe,LA,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,18052
Los Angeles International,Los Angeles,CA,USA,Honolulu International,Honolulu,HI,USA,Delta Air Lines Inc.,18040
William P Hobby,Houston,TX,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,18038
Charlotte/Douglas International,Charlotte,NC,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Expressjet Airlines Inc.,18029
Jackson Hole,Jackson,WY,USA,Denver Intl,Denver,CO,USA,United Air Lines Inc.,18022
George Bush Intercontinental,Houston,TX,USA,Seattle-Tacoma Intl,Seattle,WA,USA,Continental Air Lines Inc.,18012
Chicago O'Hare International,Chicago,IL,USA,Kansas City International,Kansas City,MO,USA,United Air Lines Inc.,18006
Tulsa International,Tulsa,OK,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,17998
Montrose Regional,Montrose,CO,USA,Denver Intl,Denver,CO,USA,Skywest Airlines Inc.,17978
Huntsville International,Huntsville,AL,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,17976
Jack McNamara,Crescent City,CA,USA,San Francisco International,San Francisco,CA,USA,Skywest Airlines Inc.,17976
Philadelphia Intl,Philadelphia,PA,USA,Luis Munoz Marin International,San Juan,PR,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),17968
Richmond International,Richmond,VA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Comair Inc.,17968
Chicago O'Hare International,Chicago,IL,USA,Charlotte/Douglas International,Charlotte,NC,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),17938
Piedmont Triad International,Greensboro,NC,USA,Charlotte/Douglas International,Charlotte,NC,USA,Mesa Airlines Inc.,17934
Kalamazoo County,Kalamazoo,MI,USA,Chicago O'Hare International,Chicago,IL,USA,Independence Air,17931
Detroit Metropolitan-Wayne County,Detroit,MI,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,17921
McGhee-Tyson,Knoxville,TN,USA,Chicago O'Hare International,Chicago,IL,USA,Skywest Airlines Inc.,17916
San Jose International,San Jose,CA,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,17916
Chicago O'Hare International,Chicago,IL,USA,Philadelphia Intl,Philadelphia,PA,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),17904
Orlando International,Orlando,FL,USA,Detroit Metropolitan-Wayne County,Detroit,MI,USA,Northwest Airlines Inc.,17904
Washington Dulles International,Chantilly,VA,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Expressjet Airlines Inc.,17886
Albany Cty,Albany,NY,USA,Baltimore-Washington International,Baltimore,MD,USA,Southwest Airlines Co.,17850
Southwest Florida International,Ft. Myers,FL,USA,Gen Edw L Logan Intl,Boston,MA,USA,JetBlue Airways,17850
Cleveland-Hopkins Intl,Cleveland,OH,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,17830
Cleveland-Hopkins Intl,Cleveland,OH,USA,Chicago O'Hare International,Chicago,IL,USA,Expressjet Airlines Inc.,17825
Newark Intl,Newark,NJ,USA,Port Columbus Intl,Columbus,OH,USA,Expressjet Airlines Inc.,17814
George Bush Intercontinental,Houston,TX,USA,Baltimore-Washington International,Baltimore,MD,USA,Continental Air Lines Inc.,17806
Westchester Cty,White Plains,NY,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,17744
City of Colorado Springs Muni,Colorado Springs,CO,USA,Salt Lake City Intl,Salt Lake City,UT,USA,Skywest Airlines Inc.,17734
John F Kennedy Intl,New York,NY,USA,Detroit Metropolitan-Wayne County,Detroit,MI,USA,Comair Inc.,17730
Adams,Little Rock,AR,USA,Memphis International,Memphis,TN,USA,Northwest Airlines Inc.,17706
Austin Straubel International,Green Bay,WI,USA,Chicago O'Hare International,Chicago,IL,USA,Mesa Airlines Inc.,17661
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Seattle-Tacoma Intl,Seattle,WA,USA,Alaska Airlines Inc.,17661
Metropolitan Oakland International,Oakland,CA,USA,Denver Intl,Denver,CO,USA,United Air Lines Inc.,17624
Westchester Cty,White Plains,NY,USA,Chicago O'Hare International,Chicago,IL,USA,Independence Air,17624
Charlotte/Douglas International,Charlotte,NC,USA,Chicago O'Hare International,Chicago,IL,USA,American Eagle Airlines Inc.,17591
Orlando International,Orlando,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,AirTran Airways Corporation,17576
Washington Dulles International,Chantilly,VA,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,17568
Roanoke Regional/ Woodrum,Roanoke,VA,USA,Chicago O'Hare International,Chicago,IL,USA,Mesa Airlines Inc.,17534
Raleigh-Durham International,Raleigh,NC,USA,Chicago O'Hare International,Chicago,IL,USA,Mesa Airlines Inc.,17510
Palm Springs International,Palm Springs,CA,USA,Phoenix Sky Harbor International,Phoenix,AZ,USA,Mesa Airlines Inc.,17506
Bismarck Municipal,Bismarck,ND,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Pinnacle Airlines Inc.,17458
Orlando International,Orlando,FL,USA,Newark Intl,Newark,NJ,USA,JetBlue Airways,17438
Chicago O'Hare International,Chicago,IL,USA,San Diego International-Lindbergh,San Diego,CA,USA,United Air Lines Inc.,17436
San Francisco International,San Francisco,CA,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,17432
George Bush Intercontinental,Houston,TX,USA,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Continental Air Lines Inc.,17382
Miami International,Miami,FL,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,17382
Los Angeles International,Los Angeles,CA,USA,Palm Springs International,Palm Springs,CA,USA,Skywest Airlines Inc.,17372
Louisville International-Standiford,Louisville,KY,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Comair Inc.,17370
Columbia Metropolitan,Columbia,SC,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,17356
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Gen Edw L Logan Intl,Boston,MA,USA,Delta Air Lines Inc.,17351
Tucson International,Tucson,AZ,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,17346
Newark Intl,Newark,NJ,USA,Ronald Reagan Washington National,Arlington,VA,USA,Expressjet Airlines Inc.,17344
Reno/Tahoe International,Reno,NV,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,17336
Miami International,Miami,FL,USA,John F Kennedy Intl,New York,NY,USA,American Airlines Inc.,17330
Metropolitan Oakland International,Oakland,CA,USA,John Wayne /Orange Co,Santa Ana,CA,USA,Alaska Airlines Inc.,17318
Philadelphia Intl,Philadelphia,PA,USA,Raleigh-Durham International,Raleigh,NC,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),17308
Seattle-Tacoma Intl,Seattle,WA,USA,San Francisco International,San Francisco,CA,USA,Alaska Airlines Inc.,17290
John F Kennedy Intl,New York,NY,USA,Los Angeles International,Los Angeles,CA,USA,United Air Lines Inc.,17270
Palm Springs International,Palm Springs,CA,USA,Seattle-Tacoma Intl,Seattle,WA,USA,Alaska Airlines Inc.,17268
Greenville-Spartanburg,Greer,SC,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,17260
Washington Dulles International,Chantilly,VA,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,17220
Memphis International,Memphis,TN,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,17212
Syracuse-Hancock Intl,Syracuse,NY,USA,Chicago O'Hare International,Chicago,IL,USA,Skywest Airlines Inc.,17196
Sacramento International,Sacramento,CA,USA,Ontario International,Ontario,CA,USA,Southwest Airlines Co.,17180
Charlotte/Douglas International,Charlotte,NC,USA,Chicago O'Hare International,Chicago,IL,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),17143
Los Angeles International,Los Angeles,CA,USA,Seattle-Tacoma Intl,Seattle,WA,USA,United Air Lines Inc.,17124
John F Kennedy Intl,New York,NY,USA,Raleigh-Durham International,Raleigh,NC,USA,Comair Inc.,17120
Metropolitan Oakland International,Oakland,CA,USA,Portland Intl,Portland,OR,USA,Alaska Airlines Inc.,17064
Chicago Midway,Chicago,IL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Comair Inc.,17060
San Francisco International,San Francisco,CA,USA,Salt Lake City Intl,Salt Lake City,UT,USA,Delta Air Lines Inc.,17050
George Bush Intercontinental,Houston,TX,USA,Gen Edw L Logan Intl,Boston,MA,USA,Continental Air Lines Inc.,17026
Outagamie County Regional,Appleton,WI,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,17025
Seattle-Tacoma Intl,Seattle,WA,USA,Portland Intl,Portland,OR,USA,Skywest Airlines Inc.,17018
Charleston AFB/International,Charleston,SC,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,American Eagle Airlines Inc.,17017
Ontario International,Ontario,CA,USA,Metropolitan Oakland International,Oakland,CA,USA,Southwest Airlines Co.,17008
William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Chicago O'Hare International,Chicago,IL,USA,United Air Lines Inc.,16987
New Orleans International,New Orleans,LA,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,16952
Cleveland-Hopkins Intl,Cleveland,OH,USA,McCarran International,Las Vegas,NV,USA,Continental Air Lines Inc.,16950
Will Rogers World,Oklahoma City,OK,USA,Chicago O'Hare International,Chicago,IL,USA,Independence Air,16928
John F Kennedy Intl,New York,NY,USA,Port Columbus Intl,Columbus,OH,USA,Comair Inc.,16906
John F Kennedy Intl,New York,NY,USA,Chicago O'Hare International,Chicago,IL,USA,Comair Inc.,16860
Cleveland-Hopkins Intl,Cleveland,OH,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,American Eagle Airlines Inc.,16845
Metropolitan Oakland International,Oakland,CA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,16826
Detroit Metropolitan-Wayne County,Detroit,MI,USA,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Northwest Airlines Inc.,16820
Gen Edw L Logan Intl,Boston,MA,USA,Bangor International,Bangor,ME,USA,Comair Inc.,16806
Los Angeles International,Los Angeles,CA,USA,Metropolitan Oakland International,Oakland,CA,USA,Southwest Airlines Co.,16806
Palm Beach International,West Palm Beach,FL,USA,Washington Dulles International,Chantilly,VA,USA,Independence Air,16764
Chicago O'Hare International,Chicago,IL,USA,Orlando International,Orlando,FL,USA,United Air Lines Inc.,16726
Ontario International,Ontario,CA,USA,McCarran International,Las Vegas,NV,USA,Southwest Airlines Co.,16724
San Francisco International,San Francisco,CA,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Delta Air Lines Inc.,16724
Portland International Jetport,Portland,ME,USA,Washington Dulles International,Chantilly,VA,USA,Mesa Airlines Inc.,16716
Charleston AFB/International,Charleston,SC,USA,Charlotte/Douglas International,Charlotte,NC,USA,Mesa Airlines Inc.,16671
Newark Intl,Newark,NJ,USA,Norfolk International,Norfolk,VA,USA,Expressjet Airlines Inc.,16670
Tampa International,Tampa,FL,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Delta Air Lines Inc.,16664
Charlotte/Douglas International,Charlotte,NC,USA,LaGuardia,New York,NY,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),16659
Jackson Hole,Jackson,WY,USA,Salt Lake City Intl,Salt Lake City,UT,USA,Delta Air Lines Inc.,16650
Chicago O'Hare International,Chicago,IL,USA,Eppley Airfield,Omaha,NE,USA,United Air Lines Inc.,16634
Key,Meridian,MS,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,16624
Newark Intl,Newark,NJ,USA,McGhee-Tyson,Knoxville,TN,USA,Expressjet Airlines Inc.,16622
Cincinnati Northern Kentucky Intl,Covington,KY,USA,Salt Lake City Intl,Salt Lake City,UT,USA,Delta Air Lines Inc.,16604
Nashville International,Nashville,TN,USA,Chicago Midway,Chicago,IL,USA,Southwest Airlines Co.,16596
Washington Dulles International,Chantilly,VA,USA,Chicago O'Hare International,Chicago,IL,USA,American Eagle Airlines Inc.,16594
Greenville-Spartanburg,Greer,SC,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Expressjet Airlines Inc.,16582
Philadelphia Intl,Philadelphia,PA,USA,San Francisco International,San Francisco,CA,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),16582
Raleigh-Durham International,Raleigh,NC,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,16540
Jacksonville International,Jacksonville,FL,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,16530
Chicago O'Hare International,Chicago,IL,USA,Sacramento International,Sacramento,CA,USA,United Air Lines Inc.,16512
Dane County Regional,Madison,WI,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,16500
San Diego International-Lindbergh,San Diego,CA,USA,Phoenix Sky Harbor International,Phoenix,AZ,USA,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),16492
John Wayne /Orange Co,Santa Ana,CA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,16490
Manchester,Manchester,NH,USA,Detroit Metropolitan-Wayne County,Detroit,MI,USA,Northwest Airlines Inc.,16476
Bradley International,Windsor Locks,CT,USA,Raleigh-Durham International,Raleigh,NC,USA,American Eagle Airlines Inc.,16464
McGhee-Tyson,Knoxville,TN,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,16460
Portland International Jetport,Portland,ME,USA,Detroit Metropolitan-Wayne County,Detroit,MI,USA,Northwest Airlines Inc.,16458
Sacramento International,Sacramento,CA,USA,McCarran International,Las Vegas,NV,USA,Southwest Airlines Co.,16444
Philadelphia Intl,Philadelphia,PA,USA,Seattle-Tacoma Intl,Seattle,WA,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),16436
El Paso International,El Paso,TX,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,16432
Harrisburg Intl,Harrisburg,PA,USA,Chicago O'Hare International,Chicago,IL,USA,American Eagle Airlines Inc.,16396
Nashville International,Nashville,TN,USA,Memphis International,Memphis,TN,USA,Northwest Airlines Inc.,16392
Indianapolis International,Indianapolis,IN,USA,Chicago O'Hare International,Chicago,IL,USA,United Air Lines Inc.,16376
Jacksonville International,Jacksonville,FL,USA,Gen Edw L Logan Intl,Boston,MA,USA,Comair Inc.,16372
Kansas City International,Kansas City,MO,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Skywest Airlines Inc.,16372
Indianapolis International,Indianapolis,IN,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,AirTran Airways Corporation,16360
University Park,NA,NA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,16352
Burbank-Glendale-Pasadena,Burbank,CA,USA,John F Kennedy Intl,New York,NY,USA,JetBlue Airways,16346
Newark Intl,Newark,NJ,USA,Louisville International-Standiford,Louisville,KY,USA,Expressjet Airlines Inc.,16338
Quad City,Moline,IL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,16334
John F Kennedy Intl,New York,NY,USA,Ronald Reagan Washington National,Arlington,VA,USA,American Eagle Airlines Inc.,16320
Buffalo Niagara Intl,Buffalo,NY,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Comair Inc.,16317
Bismarck Municipal,Bismarck,ND,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,16311
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Gen Edw L Logan Intl,Boston,MA,USA,JetBlue Airways,16300
George Bush Intercontinental,Houston,TX,USA,Denver Intl,Denver,CO,USA,Continental Air Lines Inc.,16300
George Bush Intercontinental,Houston,TX,USA,McAllen Miller International,McAllen,TX,USA,Continental Air Lines Inc.,16296
Manchester,Manchester,NH,USA,Philadelphia Intl,Philadelphia,PA,USA,Southwest Airlines Co.,16292
Rapid City Regional,Rapid City,SD,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,16284
Newark Intl,Newark,NJ,USA,Charleston AFB/International,Charleston,SC,USA,Expressjet Airlines Inc.,16276
Tulsa International,Tulsa,OK,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,16272
McCarran International,Las Vegas,NV,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,16208
McCarran International,Las Vegas,NV,USA,Portland Intl,Portland,OR,USA,Alaska Airlines Inc.,16200
Sacramento International,Sacramento,CA,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,16134
Nashville International,Nashville,TN,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,16097
Detroit Metropolitan-Wayne County,Detroit,MI,USA,Southwest Florida International,Ft. Myers,FL,USA,Northwest Airlines Inc.,16092
Baltimore-Washington International,Baltimore,MD,USA,Phoenix Sky Harbor International,Phoenix,AZ,USA,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),16088
Memphis International,Memphis,TN,USA,Chicago O'Hare International,Chicago,IL,USA,American Eagle Airlines Inc.,16080
Burlington International,Burlington,VT,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Expressjet Airlines Inc.,16070
George Bush Intercontinental,Houston,TX,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,16068
Greenville-Spartanburg,Greer,SC,USA,Chicago O'Hare International,Chicago,IL,USA,American Eagle Airlines Inc.,16060
John F Kennedy Intl,New York,NY,USA,Southwest Florida International,Ft. Myers,FL,USA,JetBlue Airways,16058
Cincinnati Northern Kentucky Intl,Covington,KY,USA,Newark Intl,Newark,NJ,USA,Comair Inc.,16054
Lambert-St Louis International,St Louis,MO,USA,Phoenix Sky Harbor International,Phoenix,AZ,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),16032
Los Angeles International,Los Angeles,CA,USA,McCarran International,Las Vegas,NV,USA,Southwest Airlines Co.,16030
LaGuardia,New York,NY,USA,Denver Intl,Denver,CO,USA,United Air Lines Inc.,16018
LaGuardia,New York,NY,USA,McGhee-Tyson,Knoxville,TN,USA,Comair Inc.,16018
Raleigh-Durham International,Raleigh,NC,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,16018
William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Expressjet Airlines Inc.,16013
Dallas Love,Dallas,TX,USA,William P Hobby,Houston,TX,USA,Southwest Airlines Co.,15994
Philadelphia Intl,Philadelphia,PA,USA,Denver Intl,Denver,CO,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),15960
Ronald Reagan Washington National,Arlington,VA,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,15957
San Francisco International,San Francisco,CA,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,15944
Greater Peoria Regional,Peoria,IL,USA,Chicago O'Hare International,Chicago,IL,USA,American Eagle Airlines Inc.,15918
Boise Air Terminal,Boise,ID,USA,Salt Lake City Intl,Salt Lake City,UT,USA,Delta Air Lines Inc.,15901
Philadelphia Intl,Philadelphia,PA,USA,John F Kennedy Intl,New York,NY,USA,Comair Inc.,15896
City of Colorado Springs Muni,Colorado Springs,CO,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,15884
Outagamie County Regional,Appleton,WI,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,15855
LaGuardia,New York,NY,USA,Orlando International,Orlando,FL,USA,American Airlines Inc.,15844
John F Kennedy Intl,New York,NY,USA,Greater Rochester Int'l,Rochester,NY,USA,JetBlue Airways,15842
Raleigh-Durham International,Raleigh,NC,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Comair Inc.,15842
Newark Intl,Newark,NJ,USA,Tampa International,Tampa,FL,USA,Continental Air Lines Inc.,15816
Indianapolis International,Indianapolis,IN,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,15798
George Bush Intercontinental,Houston,TX,USA,Orlando International,Orlando,FL,USA,Continental Air Lines Inc.,15788
Baltimore-Washington International,Baltimore,MD,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,15787
Cherry Capital,Traverse City,MI,USA,Chicago O'Hare International,Chicago,IL,USA,Mesa Airlines Inc.,15782
Seattle-Tacoma Intl,Seattle,WA,USA,Phoenix Sky Harbor International,Phoenix,AZ,USA,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),15780
Missoula International,Missoula,MT,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,15776
Nashville International,Nashville,TN,USA,Ronald Reagan Washington National,Arlington,VA,USA,American Eagle Airlines Inc.,15764
New Orleans International,New Orleans,LA,USA,William P Hobby,Houston,TX,USA,Southwest Airlines Co.,15764
Bradley International,Windsor Locks,CT,USA,Orlando International,Orlando,FL,USA,Delta Air Lines Inc.,15763
Newark Intl,Newark,NJ,USA,Raleigh-Durham International,Raleigh,NC,USA,Expressjet Airlines Inc.,15754
Raleigh-Durham International,Raleigh,NC,USA,Ronald Reagan Washington National,Arlington,VA,USA,American Eagle Airlines Inc.,15744
Ronald Reagan Washington National,Arlington,VA,USA,LaGuardia,New York,NY,USA,American Eagle Airlines Inc.,15717
LaGuardia,New York,NY,USA,Port Columbus Intl,Columbus,OH,USA,American Eagle Airlines Inc.,15700
Kansas City International,Kansas City,MO,USA,Detroit Metropolitan-Wayne County,Detroit,MI,USA,Northwest Airlines Inc.,15688
Sacramento International,Sacramento,CA,USA,Burbank-Glendale-Pasadena,Burbank,CA,USA,Southwest Airlines Co.,15676
Denver Intl,Denver,CO,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,American Airlines Inc.,15673
Yeager,Charleston,WV,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,15648
Sacramento International,Sacramento,CA,USA,Arcata,Arcata/Eureka,CA,USA,Skywest Airlines Inc.,15638
John F Kennedy Intl,New York,NY,USA,Tampa International,Tampa,FL,USA,Delta Air Lines Inc.,15632
Philadelphia Intl,Philadelphia,PA,USA,Bradley International,Windsor Locks,CT,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),15622
Eastern Iowa,Cedar Rapids,IA,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,American Eagle Airlines Inc.,15621
Nashville International,Nashville,TN,USA,Denver Intl,Denver,CO,USA,Skywest Airlines Inc.,15607
