Origin_Airport,Origin_City,Origin_State,Origin_Country,Destination_Airport,Destination_City,Destination_State,Destination_Country,Airline Name,delay
William P Hobby,Houston,TX,USA,Ronald Reagan Washington National,Arlington,VA,USA,American Airlines Inc.,32
Baltimore-Washington International,Baltimore,MD,USA,Miami International,Miami,FL,USA,AirTran Airways Corporation,31
Charlotte/Douglas International,Charlotte,NC,USA,McGhee-Tyson,Knoxville,TN,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),31
Chicago O'Hare International,Chicago,IL,USA,Albany Cty,Albany,NY,USA,American Airlines Inc.,30
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Memphis International,Memphis,TN,USA,Delta Air Lines Inc.,30
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Montrose Regional,Montrose,CO,USA,American Airlines Inc.,30
Detroit Metropolitan-Wayne County,Detroit,MI,USA,Capital City,Lansing,MI,USA,Comair Inc.,30
Indianapolis International,Indianapolis,IN,USA,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,Skywest Airlines Inc.,30
Lambert-St Louis International,St Louis,MO,USA,George Bush Intercontinental,Houston,TX,USA,Trans World Airways LLC,30
Lewiston-Nez Perce County,Lewiston,ID,USA,Joslin Field - Magic Valley,Twin Falls,ID,USA,Skywest Airlines Inc.,30
Nashville International,Nashville,TN,USA,Newark Intl,Newark,NJ,USA,American Airlines Inc.,30
New Orleans International,New Orleans,LA,USA,LaGuardia,New York,NY,USA,Pinnacle Airlines Inc.,30
Ontario International,Ontario,CA,USA,John Wayne /Orange Co,Santa Ana,CA,USA,Trans World Airways LLC,30
Orlando International,Orlando,FL,USA,Buffalo Niagara Intl,Buffalo,NY,USA,Delta Air Lines Inc.,30
Palm Springs International,Palm Springs,CA,USA,Lambert-St Louis International,St Louis,MO,USA,Trans World Airways LLC,30
Pensacola Regional,Pensacola,FL,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Skywest Airlines Inc.,30
Phoenix Sky Harbor International,Phoenix,AZ,USA,Memphis International,Memphis,TN,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),30
Pittsburgh International,Pittsburgh,PA,USA,General Mitchell International,Milwaukee,WI,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),30
Pittsburgh International,Pittsburgh,PA,USA,Myrtle Beach International,Myrtle Beach,SC,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),30
Pueblo Memorial,Pueblo,CO,USA,Denver Intl,Denver,CO,USA,Skywest Airlines Inc.,30
Raleigh-Durham International,Raleigh,NC,USA,Luis Munoz Marin International,San Juan,PR,USA,American Airlines Inc.,30
Raleigh-Durham International,Raleigh,NC,USA,Orlando International,Orlando,FL,USA,Atlantic Southeast Airlines,30
Salt Lake City Intl,Salt Lake City,UT,USA,Memphis International,Memphis,TN,USA,Atlantic Southeast Airlines,30
Southwest Florida International,Ft. Myers,FL,USA,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Comair Inc.,30
Washington Dulles International,Chantilly,VA,USA,Cyril E. King,Charlotte Amalie,VI,USA,United Air Lines Inc.,30
Will Rogers World,Oklahoma City,OK,USA,Orlando International,Orlando,FL,USA,Southwest Airlines Co.,30
Yampa Valley,Hayden,CO,USA,Chicago O'Hare International,Chicago,IL,USA,United Air Lines Inc.,30
Chicago Midway,Chicago,IL,USA,Pittsburgh International,Pittsburgh,PA,USA,ATA Airlines d/b/a ATA,28
Cincinnati Northern Kentucky Intl,Covington,KY,USA,Daytona Beach International,Daytona Beach,FL,USA,Delta Air Lines Inc.,28
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Adams,Little Rock,AR,USA,Delta Air Lines Inc.,28
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Charleston AFB/International,Charleston,SC,USA,American Eagle Airlines Inc.,28
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,John F Kennedy Intl,New York,NY,USA,Delta Air Lines Inc.,28
Denver Intl,Denver,CO,USA,Salt Lake City Intl,Salt Lake City,UT,USA,Atlantic Southeast Airlines,28
Kahului,Kahului,HI,USA,Los Angeles International,Los Angeles,CA,USA,ATA Airlines d/b/a ATA,28
Kona International At Keahole,Kailua/Kona,HI,USA,Los Angeles International,Los Angeles,CA,USA,Trans World Airways LLC,28
Lambert-St Louis International,St Louis,MO,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Trans World Airways LLC,28
Lambert-St Louis International,St Louis,MO,USA,Denver Intl,Denver,CO,USA,American Airlines Inc.,28
Lincoln Municipal,Lincoln,NE,USA,General Mitchell International,Milwaukee,WI,USA,Trans World Airways LLC,28
Luis Munoz Marin International,San Juan,PR,USA,Miami International,Miami,FL,USA,ATA Airlines d/b/a ATA,28
Luis Munoz Marin International,San Juan,PR,USA,Miami International,Miami,FL,USA,Trans World Airways LLC,28
Minneapolis-St Paul Intl,Minneapolis,MN,USA,Grand Forks International,Grand Forks,ND,USA,Pinnacle Airlines Inc.,28
